City_ID,City,Country,Max Temp,Lat,Long,Current Description,Hotel Name
1,Cidreira,BR,71.26,-30.18,-50.21,clear sky,Novomar Pousada e Turismo Ltda
2,Puerto Ayora,EC,84.2,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
3,Sao Joao Da Barra,BR,78.8,-21.64,-41.05,overcast clouds,Pousada Porto De Canoas
4,Ponta Do Sol,PT,68.0,32.67,-17.1,few clouds,Hotel do Campo
6,Port Alfred,ZA,64.0,-33.59,26.89,overcast clouds,The Halyards Hotel
9,Mataura,NZ,60.01,-46.19,168.86,overcast clouds,Ellie's Villa
10,New Norfolk,AU,50.0,-42.78,147.06,overcast clouds,The Shingles Riverside Cottages
11,Bathsheba,BB,84.2,13.22,-59.52,broken clouds,Atlantis Hotel
14,Cape Town,ZA,61.0,-33.93,18.42,broken clouds,Southern Sun Waterfront Cape Town
16,Rikitea,PF,74.84,-23.12,-134.97,overcast clouds,Pension Maro'i
19,Jamestown,US,50.0,42.1,-79.24,few clouds,Hampton Inn & Suites Jamestown
20,Fortuna,US,52.0,40.6,-124.16,broken clouds,Super 8 By Wyndham Fortuna
22,Halifax,CA,50.0,44.65,-63.57,broken clouds,Hotel Halifax
23,Victoria,HK,64.4,22.29,114.16,light rain,Mini Hotel Central
24,Hilo,US,73.4,19.73,-155.09,light rain,Hilo Hawaiian Hotel
26,Hobart,AU,50.0,-42.88,147.33,overcast clouds,St Ives Apartments
28,Lebu,CL,60.19,-37.62,-73.65,clear sky,Hostal Las Lilas
33,Albany,US,62.01,42.6,-73.97,overcast clouds,
35,Linda,US,54.0,39.13,-121.55,thunderstorm,Comfort Suites Marysville-Yuba City
36,Luwingu,ZM,63.54,-10.26,29.93,broken clouds,"Mountain City Lodge. Luwingu, Zambia"
37,Praia,CV,75.2,14.92,-23.51,few clouds,LT Aparthotel
39,Walvis Bay,,61.0,-22.96,14.51,few clouds,Oyster Box Guesthouse
40,Anderson,US,78.8,34.53,-82.65,clear sky,The Bleckley Inn
41,Luderitz,,59.0,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
42,Karratha,AU,79.56,-20.74,116.85,overcast clouds,ibis Styles Karratha
43,Puerto Princesa,PH,80.6,9.74,118.74,few clouds,Deep Forest Garden Inn
46,Bethel,US,64.99,41.37,-73.41,few clouds,Courtyard by Marriott Danbury
47,Faanui,PF,83.48,-16.48,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
49,Moron,AR,78.01,-34.65,-58.62,overcast clouds,Hotel Morón
50,Rupert,US,55.99,42.62,-113.68,clear sky,Uptown Motel
51,Pemba,MZ,80.6,-12.97,40.52,few clouds,Guesthouse Samotina
52,Kruisfontein,ZA,63.37,-34.0,24.73,overcast clouds,Oyster Bay House Rental
53,Coolum Beach,AU,66.0,-26.53,153.1,scattered clouds,Coolum Beach Resort
54,Busselton,AU,64.0,-33.65,115.33,scattered clouds,Observatory Guest House
56,Hurghada,EG,78.8,27.26,33.81,clear sky,Sea Star Beau Rivage Hotel
57,Dingle,PH,76.35,11.0,122.67,broken clouds,Camp Pasica
58,Mahebourg,MU,78.8,-20.41,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
60,Kapaa,US,78.8,22.08,-159.32,clear sky,Sheraton Kauai Resort at Coconut Beach
62,Suluq,LY,59.04,31.67,20.25,broken clouds,ورشة الحضيري لاكترونات وخدمات النت
65,Sao Filipe,CV,73.35,14.9,-24.5,clear sky,Tortuga B&B
67,San Policarpo,PH,78.58,12.18,125.51,broken clouds,Zal-Ann Beach Resort
70,East London,ZA,70.57,-33.02,27.91,overcast clouds,Tu Casa
71,Bako,ET,68.23,5.78,36.57,overcast clouds,Arkisha Sefer
72,Arraial Do Cabo,BR,78.8,-22.97,-42.03,broken clouds,Pousada Porto Praia
74,Piacabucu,BR,81.59,-10.41,-36.43,clear sky,Piaçabuçu News
76,Carnarvon,AU,73.4,-24.87,113.63,clear sky,Hospitality Carnarvon
77,Laguna,US,55.99,38.42,-121.42,heavy intensity rain,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
81,Nago,JP,66.2,26.59,127.98,broken clouds,Hotel Yugaf Inn Okinawa
83,Vaini,TO,73.4,-21.2,-175.2,broken clouds,Keleti Beach Resort
85,Atambua,ID,74.25,-9.11,124.89,few clouds,Pondok Pesantren Al Muhajirin Atambua
89,Winsum,NL,61.0,53.33,6.52,clear sky,Eetcafe Beuving
90,Pasighat,IN,67.1,28.07,95.33,broken clouds,Siang Guest House
91,Castro,BR,66.58,-24.79,-50.01,clear sky,CHACARA BAILLY
92,Aksu,CN,53.64,41.12,80.26,few clouds,Pudong Holiday Hotel
94,Belfast,GB,55.99,54.58,-5.93,light rain,Premier Inn Belfast Titanic Quarter hotel
96,Ugoofaaru,MV,84.09,5.67,73.0,clear sky,Ungoofaaru Inn
97,Georgetown,MY,78.8,5.41,100.34,scattered clouds,Cititel Penang
100,Mount Gambier,AU,50.0,-37.83,140.77,overcast clouds,Best Western Southgate Motel
101,Salalah,OM,80.6,17.02,54.09,clear sky,HAMDAN PLAZA HOTEL
102,Ribeira Grande,PT,60.8,38.52,-28.7,broken clouds,Quinta da Meia Eira
105,Avarua,CK,80.6,-21.21,-159.78,light intensity shower rain,Paradise Inn
106,Akdepe,TM,57.2,42.06,59.38,overcast clouds,Мой дом
108,Taltal,CL,71.13,-25.4,-70.48,clear sky,Residencial Karime
111,Vao,NC,77.09,-22.67,167.48,overcast clouds,Hotel Kou-Bugny
113,Chuy,UY,75.76,-33.7,-53.46,clear sky,Nuevo Hotel Plaza
116,Touros,BR,84.2,-5.2,-35.46,scattered clouds,INN NEW HORIZON
117,Naze,JP,62.6,28.37,129.48,broken clouds,奄美ポートタワーホテル
119,Lichinga,MZ,66.2,-13.31,35.24,scattered clouds,Residencial Bendiak
120,Barra Do Garcas,BR,95.0,-15.89,-52.26,thunderstorm,Hotel Pousada Tropical
121,San Patricio,MX,86.0,19.22,-104.7,scattered clouds,Hotel Cabo Blanco
123,Sabanalarga,CO,91.4,10.63,-74.92,broken clouds,Hotel Miraflores
124,Sur,OM,85.73,22.57,59.53,broken clouds,Sur Plaza Hotel
127,Tocopilla,CL,80.33,-22.09,-70.2,scattered clouds,Hotel Galvarino
128,Broome,US,61.0,42.25,-75.83,overcast clouds,Chenango Valley State Park
129,Atuona,PF,81.27,-9.8,-139.03,clear sky,Villa Enata
131,Ancud,CL,55.4,-41.87,-73.82,few clouds,HOTEL ANCUD DON LUCAS
132,Port Elizabeth,ZA,64.4,-33.92,25.57,overcast clouds,39 On Nile Guest House
133,Viru,PE,71.6,-8.42,-78.75,haze,AYAR PORTENTOS DE MONTAÑA
137,Tra Vinh,VN,79.39,9.93,106.35,few clouds,Hồng Ân
138,Brisbane,AU,64.99,-27.47,153.03,clear sky,Royal On The Park Brisbane
143,Airai,TL,60.84,-8.93,125.41,few clouds,Juvinal Martin
144,San Quintin,MX,61.66,30.48,-115.95,clear sky,Old Mill Hotel
145,Bandarbeyla,SO,80.28,9.49,50.81,clear sky,REER XOOSHLE GROUP
146,Yenagoa,NG,79.84,4.92,6.26,clear sky,Amba Hotels Limited
147,Dekar,BW,70.2,-21.53,21.93,clear sky,
148,Padang,ID,77.7,-0.95,100.35,overcast clouds,Mercure Padang
149,Conde,BR,87.8,-7.26,-34.91,few clouds,Pousada Beija Flor
150,Isangel,VU,78.8,-19.55,169.27,overcast clouds,Volcano Sea View Tree House
151,Broken Hill,AU,51.8,-31.95,141.43,clear sky,Daydream Motel & Cottages
154,Gobabis,,71.6,-22.45,18.97,broken clouds,Goba Lodge
156,Cabo San Lucas,MX,86.0,22.89,-109.91,broken clouds,Hotel Tesoro Los Cabos
157,Daru,PG,77.86,-9.08,143.21,overcast clouds,New century hotel
158,Katsina,NG,86.76,12.99,7.6,overcast clouds,Katsina Motel
160,Bredasdorp,ZA,60.8,-34.53,20.04,broken clouds,Bredasdorp Country Manor
162,Baisha,CN,53.24,26.52,110.93,overcast clouds,
164,Geraldton,AU,61.0,-28.77,114.6,clear sky,Broadwater Mariner Resort
167,Ayorou,NE,90.66,14.73,0.92,clear sky,Hotel Amenokal
168,Esperance,AU,57.2,-33.87,121.9,broken clouds,Hospitality Esperance
171,Peer,BE,63.0,51.13,5.46,clear sky,B&B Factorij 10
174,Kununurra,AU,77.0,-15.77,128.73,scattered clouds,Hotel Kununurra
175,Itaituba,BR,93.2,-4.28,-55.98,few clouds,Hotel Campos
177,Tanout,NE,84.94,14.97,8.89,overcast clouds,
178,Comillas,PH,77.0,15.4,120.7,few clouds,Morales Resort
179,Takoradi,GH,82.92,4.88,-1.76,clear sky,Raybow International Hotel
180,Saint George,US,69.8,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
182,Valparaiso,CL,64.4,-33.04,-71.63,clear sky,Hotel Ultramar
183,Sundby,DK,52.0,54.86,11.79,clear sky,Motel Højmølle Kro
184,Korla,CN,57.0,41.76,86.15,clear sky,Gulisitan Hotel
186,Kieta,PG,79.75,-6.22,155.63,few clouds,
188,Cayenne,GF,87.8,4.93,-52.33,broken clouds,Hôtel Le Dronmi
189,Olinda,BR,86.0,-8.01,-34.86,few clouds,Hotel 5 Sóis
192,Mae Hong Son,TH,72.25,19.3,97.97,clear sky,Baiyoke Chalet Hotel
193,Rocha,UY,71.29,-34.48,-54.33,overcast clouds,Beleza Pura B&B
194,Codrington,AU,51.93,-38.27,141.97,scattered clouds,Codrington Gardens Bed And Breakfast
195,Saint-Georges,GD,86.0,12.06,-61.75,few clouds,Radisson Grenada Beach Resort
196,Mahibadhoo,MV,84.51,3.78,72.97,overcast clouds,Omadhoo Inn
198,Constitucion,CL,62.1,-35.33,-72.42,clear sky,Hotel Boutique Las Azucenas
199,Lata,PT,60.01,40.16,-8.33,mist,Casa Maquia
200,Alta Floresta,BR,91.4,-9.88,-56.09,broken clouds,Floresta Amazonica Hotel
201,Rafsanjan,IR,61.03,30.41,55.99,clear sky,Rafsanjan Tourism Hotel
202,Les Trois-Ilets,MQ,86.0,14.54,-61.04,broken clouds,La Pagerie - Tropical Garden Hotel
204,Acapulco,MX,86.0,16.86,-99.89,few clouds,HS Hotsson Smart Acapulco
205,Emerald,AU,64.4,-23.53,148.17,clear sky,The Irish Village
208,Mangrol,IN,77.18,21.12,70.12,clear sky,Hotel The Royal Honours
211,Pombas,CV,75.2,17.15,-25.02,few clouds,POUSADA O RECANTO
213,Tebingtinggi,ID,78.8,3.33,99.16,scattered clouds,Hotel Malibou
214,Srikakulam,IN,80.29,18.3,83.9,few clouds,Sriram residency
215,Te Karaka,NZ,56.03,-38.47,177.87,overcast clouds,
217,Lompoc,US,57.2,34.64,-120.46,light rain,Holiday Inn Express Lompoc
218,Sumbe,AO,77.56,-11.21,13.84,few clouds,Hotel Ritz Sumbe
219,Kangaba,ML,93.92,11.93,-8.42,clear sky,Hôtel Mandé
222,Ojuelos De Jalisco,MX,81.97,21.87,-101.58,scattered clouds,Hotel La Paz
224,Vila Franca Do Campo,PT,60.8,37.72,-25.43,scattered clouds,Pestana Bahia Praia
226,Filingue,NE,89.76,14.35,3.32,clear sky,
227,Cape Coast,GH,82.87,5.11,-1.25,clear sky,Samrit Hotel
228,Maldonado,UY,77.0,-34.67,-54.92,overcast clouds,La Cimarrona
230,Culaman,PH,77.95,5.96,125.66,scattered clouds,Jasmin Ex House
232,Potiskum,NG,86.22,11.71,11.07,scattered clouds,Tamir Hotel Ltd
234,Samarai,PG,77.7,-10.62,150.67,overcast clouds,Nuli Sapi
235,Guerrero Negro,MX,64.65,27.98,-114.06,overcast clouds,"Casa Laguna, Bed & Breakfast"
236,Half Moon Bay,US,54.0,37.46,-122.43,light rain,"The Ritz-Carlton, Half Moon Bay"
237,Santa Cruz Do Sul,BR,74.07,-29.72,-52.43,clear sky,Hotel Antonio's
238,Harrisonburg,US,75.0,38.45,-78.87,overcast clouds,Hampton Inn Harrisonburg - University
239,Bambous Virieux,MU,78.8,-20.34,57.76,broken clouds,Casa Tia Villa
241,Budureasa,RO,52.0,46.67,22.5,clear sky,Pensiunea Villa Diva
243,Talwandi Bhai,IN,69.3,30.85,74.93,clear sky,Vicky Sweet & Snacks
244,North Bend,US,57.99,43.41,-124.22,clear sky,Red Lion Hotel Coos Bay
245,Bereda,ES,59.0,43.27,-7.54,broken clouds,Pazo de Verdes
246,Adrar,MR,82.47,20.5,-10.07,clear sky,
248,Lasa,IT,62.6,46.62,10.7,clear sky,Pension Feldgärtenhof
249,Tecoanapa,MX,87.12,16.52,-98.75,clear sky,Hotel Manglares
251,Hamilton,US,60.01,39.18,-84.53,light rain,Six Acres Bed & Breakfast
253,Durant,US,64.0,33.99,-96.37,overcast clouds,Holiday Inn Express & Suites Durant
255,General Pico,AR,78.67,-35.66,-63.76,few clouds,Hotel Malargue
257,Porbandar,IN,76.95,21.64,69.61,clear sky,Lords Inn Porbandar
258,Mahajanga,MG,78.8,-15.72,46.32,few clouds,Restaurant Greedy Coco Lodge Majunga
259,Avera,US,80.01,33.19,-82.53,clear sky,
260,Butaritari,KI,82.56,3.07,172.79,scattered clouds,Isles Sunset Lodge
263,Pisco,PE,73.99,-13.7,-76.22,clear sky,Hostal San Isidro Oficial
264,Ranong,TH,78.35,9.97,98.63,overcast clouds,Tinidee Hotel@Ranong
269,Dunedin,NZ,57.99,-45.87,170.5,overcast clouds,Scenic Hotel Southern Cross
273,Saint-Pierre,RE,77.0,-21.34,55.48,scattered clouds,Lindsey Hôtel
274,Mazagao,BR,89.6,-0.12,-51.29,shower rain,Casa Lima Santos
275,Uribia,CO,89.02,11.71,-72.27,scattered clouds,Hotel Uribia
276,Sulzbach-Rosenberg,DE,55.4,49.5,11.75,clear sky,Gasthof zum Wulfen
277,Fribourg,CH,55.4,46.8,7.15,clear sky,Hôtel de la Rose Fribourg
282,Hami,CN,52.09,42.8,93.45,overcast clouds,Laoyutang Resort
284,Prata,BR,77.11,-19.31,-48.92,scattered clouds,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
286,Hobyo,SO,82.31,5.35,48.53,overcast clouds,
289,Bar Harbor,US,51.8,44.39,-68.2,overcast clouds,Atlantic Oceanside Hotel & Event Center
290,Aras,ES,60.8,42.56,-2.36,few clouds,Jardines de Viana Spa
293,Tezu,IN,67.86,27.92,96.17,broken clouds,Circuit House
295,Harper,LR,83.25,4.38,-7.72,scattered clouds,Cape View Guest House
296,Chicama,PE,71.6,-7.84,-79.15,haze,Hospedaje Punta Cana PERU
297,Souillac,MU,78.8,-20.52,57.52,broken clouds,Bils' Villa
300,Lincoln,US,59.0,40.8,-96.67,clear sky,Courtyard by Marriott Lincoln Downtown/Haymarket
301,Tambura,SS,71.11,5.6,27.47,overcast clouds,Guest hous Tambura
302,Layou,VC,87.8,13.2,-61.27,scattered clouds,Buccament Bay Resort
305,Tuatapere,NZ,60.01,-46.13,167.68,overcast clouds,Tom Cruse Refreshment Company
306,Viedma,AR,68.13,-40.81,-63.0,scattered clouds,Hotel Cristal
307,Crotone,IT,55.33,39.09,17.12,overcast clouds,Helios Hotel
310,Mount Pleasant,US,79.0,32.79,-79.86,clear sky,Best Western Patriots Point
311,Sibolga,ID,77.47,1.74,98.78,overcast clouds,Hotel Syariah CN Darussalam
313,Najran,SA,80.6,17.49,44.13,clear sky,محمد هادي ال فطيح
314,Zhanaozen,KZ,55.09,43.3,52.8,broken clouds,
315,Bulawayo,ZW,63.77,-20.15,28.58,scattered clouds,4 On Housman Backpackers
316,Zabol,AF,52.32,32.25,67.25,few clouds,
317,Margate,GB,63.0,51.38,1.39,clear sky,Premier Inn Margate hotel
318,Grand Gaube,MU,78.8,-20.01,57.66,broken clouds,Veranda Paul et Virginie Hotel & Spa
319,San Pedro De Macoris,DO,89.6,18.46,-69.3,scattered clouds,Apartahotel Guaraguao
321,Palatka,US,71.6,29.65,-81.64,overcast clouds,Holiday Inn Express & Suites Palatka Northwest
322,Sinnamary,GF,81.32,5.38,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
323,Denia,ES,59.0,38.84,0.11,few clouds,Hotel Port Dénia
324,Buchanan,LR,81.48,5.88,-10.05,scattered clouds,Kamaneahn Hotel Inc
326,Jalu,LY,63.46,29.03,21.55,clear sky,Jalu Hotel
328,Mangalia,RO,50.0,43.8,28.58,few clouds,Hotel Saturn
333,Cap Malheureux,MU,78.8,-19.98,57.61,broken clouds,Pereybere Hotel & Spa
334,Boueni,YT,80.6,-12.9,45.08,scattered clouds,Auberge bouloulou( inter djasmire )
336,Rawson,AR,58.98,-43.3,-65.1,overcast clouds,Hotel Punta León
337,Kalaiya,NP,71.64,27.03,85.0,clear sky,Bijay house
338,Port-Gentil,GA,82.08,-0.72,8.78,few clouds,Fengshui Residence
339,Praya,CV,75.2,14.92,-23.51,few clouds,LT Aparthotel
340,Vieste,IT,57.99,41.88,16.18,scattered clouds,Hotel Falcone
343,Riyadh,SA,80.6,24.69,46.72,broken clouds,InterContinental Riyadh
345,Christchurch,NZ,57.99,-43.53,172.63,overcast clouds,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
346,Teshie,GH,84.2,5.58,-0.11,clear sky,ANAIVEH SERVICES
347,Abu Dhabi,AE,80.6,24.47,54.37,clear sky,Beach Rotana
348,Rio Grande,BR,80.6,-32.03,-52.1,few clouds,Swan Express Rio Grande
350,Kapoeta,SS,85.8,4.77,33.59,overcast clouds,Eastgate Hotel
351,Karangasem,ID,82.4,-8.45,115.62,few clouds,Villa Campuhan
352,Khash,IR,64.92,28.22,61.22,clear sky,دفتر پیشخوان دولت جمال زهی (خالد)
353,Mzimba,MW,62.1,-11.9,33.6,clear sky,Zagegs Hotel
354,Corowa,AU,55.0,-36.03,146.38,overcast clouds,Statesman Motor Inn
357,Cumberland,US,75.0,35.05,-78.87,clear sky,American Eagle Inn
358,Hualmay,PE,77.76,-11.1,-77.61,clear sky,Hotel Restaurant Turístico Casablanca
359,Danjiangkou,CN,56.12,32.54,111.51,overcast clouds,Dongsheng Guesthouse
360,Mount Airy,US,73.99,36.5,-80.61,clear sky,Holiday Inn Express & Suites Mount Airy
361,Raga,SS,77.36,8.46,25.68,broken clouds,
362,Matadi,CD,77.22,-5.82,13.45,overcast clouds,Hotel Fortune
363,Mount Isa,AU,69.8,-20.73,139.5,broken clouds,ibis Styles Mt Isa Verona
364,Ati,TD,90.0,13.22,18.34,clear sky,
366,Weatherford,US,63.0,32.76,-97.8,overcast clouds,Candlewood Suites Weatherford
367,Raudeberg,NO,51.01,61.99,5.14,overcast clouds,Nordre Silda.
368,Nuevo Progreso,MX,81.0,23.17,-97.95,overcast clouds,Balneario Rio el Paraiso
369,Gardner,US,57.99,42.58,-72.0,overcast clouds,Super 8 by Wyndham Gardner
372,Fossombrone,IT,55.99,43.69,12.81,scattered clouds,B&B Camera con vista
373,Fallon,US,60.8,39.47,-118.78,overcast clouds,Best Western Fallon Inn & Suites
374,San Lorenzo,PY,96.8,-25.33,-57.53,few clouds,Canarias Hotel
376,Corinto,GR,54.0,37.94,22.96,light rain,Ephira Hotel
377,Rapid Valley,US,60.01,44.06,-103.15,clear sky,Fairfield Inn & Suites by Marriott Rapid City
379,Kota Bahru,MY,77.0,6.13,102.24,few clouds,Grand Riverview Hotel
380,Cociuba Mare,RO,55.0,46.73,22.0,few clouds,
381,Tete,MZ,78.8,-16.16,33.59,clear sky,Zambeze Paraíso Misterioso
382,Den Helder,NL,61.0,52.96,4.76,clear sky,Hotel Den Helder
386,Kralendijk,BQ,86.0,12.15,-68.27,broken clouds,Divi Flamingo Beach Resort & Casino
387,Portland,US,57.99,45.52,-122.68,broken clouds,Portland Marriott City Center
388,Hambantota,LK,78.8,6.12,81.12,few clouds,Bungalow 63
389,Gornoye Loo,RU,51.8,43.71,39.6,overcast clouds,«ВатерЛоо» гостиница
390,Korem,ET,58.84,12.51,39.52,scattered clouds,
391,Sarangani,PH,82.42,5.4,125.46,few clouds,Ballistic Islet
392,San Rafael,AR,77.9,-34.62,-68.33,clear sky,Hotel San Rafael
395,Tooele,US,62.6,40.53,-112.3,light rain,Holiday Inn Express & Suites Tooele
396,Poum,NC,79.83,-20.23,164.02,overcast clouds,Gîte kajeon
398,Kidal,ML,87.84,18.44,1.41,clear sky,
401,Tevaitoa,PF,84.33,-16.78,-151.5,clear sky,Hôtel Raiatea Lodge
402,Serenje,ZM,60.37,-13.23,30.24,clear sky,SERENJE SOCH INN
403,Gilgit,PK,50.13,35.92,74.31,overcast clouds,Tourist Hamlet Gilgit
404,Moree,AU,53.6,-29.47,149.85,clear sky,Molika Springs Motel
405,Atakpame,TG,81.79,7.53,1.13,scattered clouds,Hotel Relais Des Plateaux
407,Reconquista,AR,76.78,-29.15,-59.65,overcast clouds,Grand Hotel
408,Pochutla,MX,90.0,15.74,-96.47,scattered clouds,Hotel Posada San Jose
409,Vila Velha,BR,78.01,-20.33,-40.29,overcast clouds,Hotel Vitória Palace
413,Granadilla De Abona,ES,72.0,28.12,-16.58,few clouds,Hotel Rural Senderos De Abona
414,Murray,US,62.6,40.67,-111.89,overcast clouds,Baymont by Wyndham Murray/Salt Lake City
415,Awbari,LY,67.23,26.59,12.78,clear sky,فندق أوباري
417,Paysandu,UY,82.99,-32.32,-58.08,overcast clouds,Gran Hotel Paysandú
419,Clovis,US,64.4,36.83,-119.7,light rain,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
420,Mantua,IT,59.0,45.17,10.78,clear sky,Hotel la Favorita
421,Panaba,MX,95.13,21.28,-88.27,clear sky,Hotel California
422,Marzuq,YE,74.43,14.4,46.47,clear sky,
424,Palmer,US,60.01,42.16,-72.33,overcast clouds,Wedgewood Motel
427,Tubuala,PA,93.2,9.52,-79.03,scattered clouds,
428,Nouakchott,MR,75.2,18.09,-15.98,clear sky,Hôtel Iman
431,Azua,DO,86.0,18.45,-70.73,few clouds,Cabañas Sexy Home
433,Hervey Bay,AU,68.0,-25.3,152.85,clear sky,Shelly Bay Resort
434,Wheeling,US,55.0,42.14,-87.93,clear sky,The Westin Chicago North Shore
435,Buin,CL,78.8,-33.73,-70.75,clear sky,Paihuen
437,Fredericton,CA,53.6,45.95,-66.67,overcast clouds,Crowne Plaza Fredericton-Lord Beaverbrook
438,Mayahi,NE,90.03,13.96,7.67,overcast clouds,
439,Kalianget,ID,80.11,-7.05,113.93,broken clouds,Pesanggrahan Garam
440,Shenjiamen,CN,50.43,29.96,122.3,broken clouds,Jinjiang Inn Zhoushan Putuo Shenjiamen
443,Ahipara,NZ,63.68,-35.17,173.17,overcast clouds,Ahipara Holiday Park
444,Taylorville,US,60.01,39.55,-89.29,overcast clouds,Economy Inn
445,Keti Bandar,PK,76.44,24.14,67.45,clear sky,Haji laloo memon house
449,Makakilo City,US,78.8,21.35,-158.09,clear sky,Marriott's Ko Olina Beach Club
450,Oranjemund,,57.07,-28.55,16.43,few clouds,Fisherman's Cove
451,Byron Bay,AU,63.0,-28.65,153.62,clear sky,Backpackers Inn on the Beach
453,Bulembu,SZ,69.8,-25.97,31.13,clear sky,Bulembu Lodge
454,Jieshi,CN,62.01,22.81,115.83,broken clouds,Yuehai Hotel
455,Lucea,JM,86.0,18.45,-78.17,few clouds,Grand Palladium Jamaica Resort & Spa
456,Taloda,IN,78.44,21.57,74.22,clear sky,"Hotel Aarohi & Veg& Non,veg shahada Bay bass read Taloda dist. Nandurbar"
461,Los Andes,CL,78.8,-32.83,-70.6,clear sky,Hotel Los Andes
462,Quatre Cocos,MU,78.8,-20.21,57.76,broken clouds,Veranda Palmar Beach Hotel
465,San Isidro,PE,78.8,-12.12,-77.05,clear sky,Radisson Hotel Decapolis Miraflores
468,Ruteng,ID,64.56,-8.61,120.47,broken clouds,Hotel FX72 Ruteng
469,Brewster,US,66.0,41.4,-73.62,few clouds,Heidi's Inn
472,Meadow Lake,US,72.0,34.8,-106.54,clear sky,JKL Inc. R.V Park and Storage
474,Hobbs,US,68.0,32.7,-103.14,clear sky,Best Western Executive Inn
475,Praia Da Vitoria,PT,55.4,38.73,-27.07,light rain,Hotel Branco I
476,Namibe,AO,72.34,-15.2,12.15,clear sky,Chik-Chik Namibe
477,Mao,ES,57.2,39.89,4.27,overcast clouds,Hotel Catalonia Mirador des Port
480,Porto Novo,BJ,83.48,6.5,2.6,overcast clouds,Tour Eiffel Hotel Benin
481,Marakkanam,IN,81.14,12.2,79.95,scattered clouds,Ocean Breeze Guest House
485,Road Town,VG,86.0,18.42,-64.62,few clouds,"ZINGARA 76ft Catamaran, full crew-all included"
488,Edd,ER,88.54,13.93,41.69,clear sky,
489,Ziway,ET,67.23,7.93,38.72,clear sky,Bethlehem Hotel
490,Pampa,US,72.0,35.54,-100.96,clear sky,Holiday Inn Express & Suites Pampa
491,Dickinson,US,75.2,29.46,-95.05,broken clouds,Candlewood Suites League City
492,Oistins,BB,84.2,13.07,-59.53,broken clouds,Butterfly Beach Hotel
493,Kiama,AU,60.8,-34.68,150.87,clear sky,The Sebel Kiama Harbourside
494,Thaba Nchu,ZA,60.8,-29.21,26.84,broken clouds,Real Time Guest House
495,Sarkand,KZ,52.14,45.41,79.92,scattered clouds,Гостиница Сарканд
497,Port Hedland,AU,77.0,-20.32,118.57,broken clouds,The Esplanade Hotel
498,Buala,SB,81.68,-8.14,159.59,overcast clouds,Maringe Lagoon Lodge
500,Lakes Entrance,AU,51.01,-37.88,147.98,few clouds,The Esplanade Resort & Spa
501,Saryagash,KZ,53.6,41.45,69.17,fog,Paradise Hotel
504,Kahului,US,80.6,20.89,-156.47,scattered clouds,Maui Seaside Hotel
506,Vinukonda,IN,76.66,16.05,79.75,scattered clouds,VLS Residency
507,Talcahuano,CL,66.2,-36.72,-73.12,clear sky,Hotel Terramar
509,Gazojak,TM,57.49,41.19,61.4,broken clouds,
510,Trebisacce,IT,60.8,39.87,16.53,overcast clouds,Hotel Ristorante Stellato
512,Saint Anthony,US,55.99,45.02,-93.22,clear sky,Holiday Inn Express Roseville-St. Paul
515,Puerto Colombia,CO,91.4,10.99,-74.95,broken clouds,Hotel El Emigrante
517,Galle,LK,79.65,6.04,80.22,scattered clouds,Amangalla
518,Panzhihua,CN,54.14,26.59,101.71,clear sky,Electric Power Hotel
519,Rio Branco,BR,84.2,-9.97,-67.81,thunderstorm with heavy rain,João Paulo Hotel
521,Nanzhou,CN,53.47,29.36,112.4,broken clouds,兴禹国际大酒店
522,Roebourne,AU,79.84,-20.78,117.13,overcast clouds,Harding River Caravan Park
524,Nola,IT,62.01,40.92,14.53,scattered clouds,Pamaran Hotel
525,Durham,US,73.99,36.03,-78.87,few clouds,Durham Marriott City Center
528,Luba,GQ,82.4,3.46,8.55,few clouds,
529,Seddon,AU,55.0,-37.81,144.89,overcast clouds,AKOM Docklands
530,Cockburn Town,TC,80.6,21.46,-71.14,few clouds,Osprey Beach Hotel
531,Patrocinio,BR,86.0,-18.94,-46.99,few clouds,Guines Palace Hotel 34-99816-3311
533,Flinders,AU,60.8,-34.58,150.86,clear sky,Shellharbour Resort & Conference Centre
534,Samalkot,IN,77.77,17.05,82.18,clear sky,Hotel Sai Residency
536,Nanzhang,CN,56.88,31.78,111.84,broken clouds,Longmenkezhan
537,Archidona,ES,62.6,37.1,-4.39,few clouds,Hotel Escua
539,Huarmey,PE,79.9,-10.07,-78.15,clear sky,Hotel Miramar
541,Dorado,PR,84.2,18.46,-66.27,broken clouds,Embassy Suites by Hilton Dorado del Mar Beach Resort
542,Price,US,59.0,39.6,-110.81,broken clouds,National 9 - Price River Inn
543,Horizontina,BR,86.0,-27.63,-54.31,broken clouds,Hotel Avenida
